Name,Team,GP,Min,M-FG,A-FG,Pct-FG,M-3PT,A-3PT,Pct-3PT,M-FT,A-FT,Pct-FT,Off-Rb,Def-Rb,Tot-Rb,Ast,TO,Stl,Blk,PF,PPG
Chris Andersen,MEM,19,13.9,1.4,2.4,56.5,0.2,0.5,33.3,1.1,1.6,66.7,1.2,2.3,3.5,0.5,0.4,0.4,0.5,1,3.9
Omer Asik,NO,60,17.2,1.5,2.8,52.4,0,0,N/A,0.9,1.6,54.2,1.8,4.3,6.2,0.4,0.8,0.3,0.4,1.9,3.8
Kendall Marshall,PHI,24,13.1,1.5,3.9,37.2,0.5,1.5,29.7,0.4,0.5,69.2,0,0.7,0.8,2.6,1.7,0.5,0,1,3.8
Orlando Johnson,NO,7,14.5,1.3,4.9,26.5,0.3,1.4,20,0.9,1.1,75,0.6,1.6,2.1,0.3,0.6,0.4,0.4,1.3,3.7
Tyler Ennis,MIL,38,11,1.5,3.6,43,0.3,0.8,34.5,0.4,0.6,69.6,0.2,1.1,1.3,1.6,0.7,0.4,0,1.1,3.7
Kevin Seraphin,NY,43,10.5,1.7,4.1,39.9,0,0,0,0.4,0.5,81,0.7,1.7,2.4,1,0.9,0.2,0.7,1.3,3.7
Noah Vonleh,POR,71,15.6,1.5,3.7,41.7,0.1,0.6,23.8,0.5,0.6,73.3,1.2,2.8,4,0.4,0.6,0.3,0.3,2.1,3.7
Montrezl Harrell,HOU,38,9.8,1.5,2.2,65.9,0,0,0,0.6,1.2,52.2,0.7,1,1.7,0.4,0.4,0.3,0.3,1.2,3.6
Caron Butler,SAC,15,10,1.4,3.3,42,0.1,1.1,12.5,0.7,0.8,83.3,0.3,1,1.3,0.6,0.1,0.6,0,1.3,3.6
Salah Mejri,DAL,27,10.5,1.4,2.3,61.3,0,0,0,0.8,1.3,61.1,1.1,2.3,3.5,0.2,0.7,0.2,1,1.4,3.6
Ryan Hollins,MEM,34,13.3,1.4,2.3,61.5,0,0,N/A,0.8,1.2,61.9,1.4,1.4,2.8,0.3,0.7,0.2,0.6,1.8,3.6
Shabazz Napier,ORL,52,11.1,1.2,3.7,33.2,0.6,1.9,31.6,0.6,0.8,73.2,0.2,0.8,1,1.8,0.9,0.4,0,0.7,3.6
Jordan McRae,CLE,17,7.3,1.1,2.5,42.9,0.4,1,41.2,0.9,1.2,80,0.1,0.6,0.8,0.9,0.6,0.2,0.1,0.6,3.5
Jordan Adams,MEM,2,7.3,1,3,33.3,0,0.5,0,1.5,2.5,60,0,1,1,1.5,1,1.5,0,1,3.5
Andre Miller,SA,37,11,1.4,2.4,59.1,0.1,0.2,28.6,0.6,0.8,73.3,0.3,0.8,1.1,2.1,0.9,0.4,0,1.2,3.5
James Jones,CLE,42,9.5,1.1,2.8,39.8,0.8,2.1,39.1,0.4,0.5,77.3,0.2,0.9,1,0.3,0.2,0.2,0.2,1.1,3.5
Norman Powell,TOR,40,11.2,1.4,3.8,36,0.5,1.5,32.8,0.4,0.4,87.5,0.4,1.5,1.8,0.6,0.4,0.4,0.2,1.1,3.5
Josh McRoberts,MIA,38,14.2,1.3,3.4,39.1,0.2,1.1,22,0.7,0.9,69.4,0.5,2,2.5,1.9,0.7,0.4,0.2,1.7,3.5
Justin Holiday,CHI,44,13.1,1.4,3.9,35.1,0.5,1.8,30,0.3,0.4,64.7,0.2,1.3,1.5,0.8,0.7,0.5,0.3,1.1,3.5
Christian Wood,PHI,15,7.9,1.3,2.9,43.2,0.3,0.7,40,0.6,0.9,69.2,0.7,1.5,2.1,0.2,0.1,0.3,0.3,0.7,3.4
Ray McCallum,MEM,40,11.7,1.4,3.6,38.2,0.4,1,36.6,0.3,0.3,84.6,0.2,1,1.2,1.5,0.6,0.3,0.2,0.7,3.4
Kelly Oubre Jr.,WAS,57,10,1.3,3.1,41.1,0.4,1.2,34.3,0.5,0.8,65.1,0.4,1.6,2,0.2,0.5,0.4,0.1,1.5,3.4
Thomas Robinson,BKN,64,11.5,1.4,3.3,41.8,0,0,0,0.5,1.2,47.3,1.5,2.9,4.4,0.6,0.9,0.5,0.5,1.4,3.3
Phil Pressey,PHO,23,12.3,1.3,3.4,38.5,0.2,0.8,22.2,0.6,1.1,52,0.1,1.2,1.3,3.3,1.4,0.8,0.2,1.2,3.3
Tim Frazier,NO,42,10.8,1.2,2.9,42.1,0.2,0.6,26.9,0.7,1,70.5,0.4,1.2,1.6,1.8,1.1,0.4,0,1.1,3.3
Justin Anderson,DAL,47,9.2,1.1,2.9,39.3,0.4,1.4,26.2,0.6,0.7,79.4,0.2,1.5,1.7,0.4,0.4,0.3,0.3,0.6,3.2
Robert Sacre,LAL,21,12.7,1.2,2.8,42.4,0,0,N/A,0.8,1.3,60.7,1.1,1.4,2.5,0.6,0.5,0.1,0.5,1.7,3.2
Kirk Hinrich,ATL,42,14.4,1.1,3,37.8,0.5,1.5,37.7,0.4,0.4,93.8,0.2,1.4,1.6,1.7,0.7,0.4,0,1.5,3.2
Kyle Singler,OKC,60,14.2,1.2,3.2,37.6,0.4,1.5,28.4,0.4,0.6,64.7,0.7,1.3,2,0.4,0.5,0.4,0.1,1.7,3.2
Mike Muscala,ATL,55,9.5,1.3,2.5,50.4,0.2,0.6,28.6,0.5,0.6,80,0.6,1.4,2,0.5,0.5,0.2,0.4,1.2,3.2
Axel Toupane,DEN,14,14.8,1.1,3.2,33.3,0.6,2,32.1,0.4,0.5,85.7,0.5,0.8,1.3,0.7,0.2,0.4,0.3,2.1,3.2
Kevin Garnett,MIN,38,14.6,1.4,3,47,0,0,0,0.4,0.6,66.7,0.4,3.6,3.9,1.6,0.4,0.7,0.3,1.8,3.2
Solomon Hill,IND,50,12.7,1.2,2.8,42,0.2,0.9,25,0.6,0.6,90.3,0.7,1.7,2.4,0.9,0.4,0.5,0.2,1.1,3.1
Josh Huestis,OKC,1,4.8,1,1,100,1,1,100,0,2,0,0,0,0,0,1,0,0,1,3
Chris Kaman,POR,14,7.5,1.4,3,45.2,0.1,0.3,25,0.2,0.2,100,0.4,1.1,1.6,0.7,0.5,0.1,0.1,0.9,3
Tarik Black,LAL,32,11.5,1.3,2.4,52.6,0,0,N/A,0.4,1,39.4,1,2.8,3.8,0.4,0.6,0.3,0.4,1.9,3
Chris Johnson,UTA,65,12.4,1,2.8,36.4,0.4,1.4,27.2,0.5,0.6,81,0.4,1.5,2,0.7,0.6,0.5,0.3,1.5,3
Thanasis Antetokounmpo,NY,2,3.1,1.5,2,75,0,0.5,0,0,0,N/A,0,0.5,0.5,0,0,0,0,1,3
James Michael McAdoo,GS,38,6.4,1.1,2,54.5,0,0,100,0.7,1.2,55.6,0.8,0.7,1.5,0.4,0.4,0.2,0.1,0.9,2.9
Tayshaun Prince,MIN,70,19.4,1.3,2.9,45.1,0.1,0.3,19,0.2,0.3,68.4,0.4,1.5,2,0.9,0.3,0.5,0.2,0.9,2.9
Luc Richard Mbah a Moute,LAC,66,16.7,1.2,2.7,42.5,0.2,0.6,31.6,0.4,0.8,54,0.9,1.4,2.3,0.4,0.5,0.5,0.3,1.3,2.9
Chris McCullough,BKN,15,11.8,1.1,3.3,34.7,0.3,0.9,38.5,0.3,0.4,66.7,0.7,1.2,1.9,0.2,0.4,0.8,0.4,1.6,2.9
Xavier Munford,MEM,6,9.5,1,2.3,42.9,0.3,0.8,40,0.5,0.8,60,0.3,1.2,1.5,0.7,0.3,0.7,0.2,1.2,2.8
Alex Stepheson,MEM,8,9,1.1,3.4,33.3,0,0,N/A,0.5,1.5,33.3,2.4,1.1,3.5,0.3,0,0.1,0.6,1.5,2.8
Cory Jefferson,PHO,8,6.3,1.1,2.8,40.9,0,0.1,0,0.5,0.8,66.7,0.8,1.3,2,0,0,0,0.1,1,2.8
Jason Thompson,TOR,38,8.9,0.9,1.9,49.3,0,0.1,20,0.9,1.3,70.8,0.6,1.9,2.6,0.6,0.3,0.3,0.4,1.7,2.8
Greg Smith,MIN,13,11.5,1.2,2.2,53.6,0,0,N/A,0.5,1.2,40,0.7,1.8,2.5,0.4,0.3,0.2,0.1,2,2.8
Drew Gooden,WAS,28,10.6,1.1,3.5,31.6,0.3,1.4,17.9,0.3,0.4,66.7,1,2,3,0.5,0.5,0.3,0.4,1.3,2.8
Reggie Bullock,DET,32,10.2,1,2.3,41.3,0.5,1.3,40,0.4,0.4,92.3,0.4,1.2,1.6,0.5,0.2,0.3,0,0.7,2.8
Johnny O'Bryant,MIL,60,12.6,1.2,3.1,38.3,0,0,100,0.4,0.6,65.7,1,1.6,2.5,0.5,0.5,0.3,0.1,1.5,2.7
Anderson Varejao,GS,47,9.6,1.1,2.4,45.1,0,0,0,0.6,0.9,67.5,0.7,2,2.7,0.7,0.5,0.3,0.2,1.3,2.7
Rasual Butler,SA,46,9.4,1.1,2.3,47.1,0.3,1.1,30.6,0.2,0.3,68.8,0.1,1.2,1.2,0.5,0.2,0.3,0.5,0.2,2.7
Jared Cunningham,MIL,44,9.3,0.8,2.4,34.3,0.3,0.9,30.8,0.8,1.3,65.5,0.1,0.8,0.9,0.5,0.5,0.3,0,0.9,2.7
James Anderson,SAC,44,12,1,2.7,35.3,0.4,1.3,29.3,0.3,0.4,87.5,0.2,1.2,1.4,0.5,0.6,0.3,0.2,1,2.6
Matt Bonner,SA,25,6.1,1,1.8,53.3,0.5,1.1,48.1,0.1,0.2,75,0.1,0.8,0.9,0.3,0.1,0.2,0,0.4,2.6
Kostas Papanikolaou,DEN,26,11.3,0.9,2.5,36.4,0.4,1.2,31.3,0.3,0.5,64.3,0.3,1.2,1.5,0.6,0.8,0.5,0.2,0.9,2.6
Justin Harper,DET,5,7,0.8,2,40,0.8,1.8,44.4,0.2,0.4,50,0,0.2,0.2,0,0.4,0.2,0,0.6,2.6
Adreian Payne,MIN,46,9.5,1,2.8,37.8,0.2,0.6,32.1,0.3,0.4,70,0.4,1.7,2.1,0.5,0.7,0.3,0.2,1.5,2.6
Rashad Vaughn,MIL,62,12.1,0.9,3,29.6,0.5,1.6,30.4,0.2,0.2,91.7,0.1,1,1.1,0.5,0.4,0.3,0.1,0.9,2.5
Lorenzo Brown,PHO,8,7.6,1,3.1,32,0.1,1,12.5,0.4,0.5,75,0,0.9,0.9,1.4,1.1,0.4,0.1,0.5,2.5
R.J. Hunter,BOS,32,9.1,0.9,2.8,33.7,0.5,1.8,27.6,0.2,0.2,83.3,0.1,1,1,0.4,0.3,0.4,0.1,0.9,2.5
Sonny Weems,PHI,43,11.6,1,2.6,38.2,0.3,1,36.6,0.2,0.3,53.3,0.2,1.1,1.2,1.1,1,0.2,0,1.1,2.5
Jeremy Evans,DAL,30,8.4,0.9,1.6,54.2,0.1,0.5,25,0.5,0.7,71.4,0.4,1.4,1.8,0.1,0.2,0.2,0.3,0.6,2.4
Steve Novak,MIL,10,4.4,0.8,1.8,44.4,0.7,1.5,46.7,0.1,0.1,100,0,0.5,0.5,0,0.1,0,0,0.3,2.4
Damjan Rudez,MIN,28,9,0.8,2,38.6,0.5,1.6,32.6,0.3,0.3,100,0.2,0.5,0.6,0.4,0.5,0.1,0,1.1,2.4
Tyler Hansbrough,CHA,39,8.2,0.7,1.7,43.9,0.1,0.1,66.7,0.8,1.5,56.1,1,1.2,2.2,0.2,0.3,0.3,0.2,1.3,2.4
Lamar Patterson,ATL,35,11.3,0.8,2.3,35,0.3,1.4,24.5,0.5,0.6,72.7,0.1,1.3,1.4,1.1,0.7,0.3,0.1,1.3,2.4
Alan Williams,PHO,3,5.3,0.7,1.3,50,0,0,N/A,1,2,50,1.3,1,2.3,0,1,0.7,0,2,2.3
Walter Tavares,ATL,11,6.6,1,1.7,57.9,0,0,N/A,0.3,0.7,37.5,0.6,1.3,1.9,0.3,0.5,0.1,0.5,0.7,2.3
Sergey Karasev,BKN,37,9.4,0.7,1.8,41.5,0.3,0.9,30.3,0.5,0.5,89.5,0.2,1.1,1.3,0.7,0.5,0.2,0.1,0.5,2.2
Pablo Prigioni,LAC,51,12.6,0.8,2.1,39.6,0.5,1.5,33.8,0.1,0.1,80,0.6,1.1,1.7,1.9,0.7,0.9,0,1.3,2.2
DeJuan Blair,WAS,29,7.5,1,2.3,41.2,0,0,0,0.2,0.4,38.5,0.7,1.3,2,0.4,0.5,0.3,0.1,1.8,2.1
Nick Collison,OKC,54,11.8,0.8,1.9,44.6,0,0,0,0.4,0.6,71,1.2,1.7,2.9,0.8,0.8,0.2,0.3,1.9,2.1
Chris Copeland,MIL,24,6.5,0.7,2.1,33.3,0.4,1.5,27.8,0.3,0.3,85.7,0,0.4,0.4,0.5,0.3,0.1,0,0.7,2.1
Lucas Nogueira,TOR,25,6.6,0.9,1.4,64.7,0,0.1,50,0.3,0.5,61.5,0.6,0.8,1.4,0.1,0.3,0.4,0.3,0.8,2.1
Kendrick Perkins,NO,28,13.9,0.9,1.6,57.8,0,0,N/A,0.2,0.6,35.3,0.7,2.7,3.4,0.7,0.9,0.4,0.3,1.8,2.1
Tibor Pleiss,UTA,12,6.8,0.9,2.1,44,0,0.2,0,0.2,0.2,100,0.5,0.8,1.3,0.2,0.7,0.1,0.2,1.6,2
Delon Wright,TOR,23,5.3,0.7,1.8,36.6,0.2,0.3,50,0.5,0.8,63.2,0.2,0.8,1,0.6,0.3,0.2,0,0.2,2
K.J. McDaniels,HOU,30,5.5,0.6,1.8,35.8,0.1,0.6,22.2,0.6,0.8,82.6,0.3,0.6,0.9,0.2,0.4,0.1,0.2,0.9,2
Chuck Hayes,HOU,2,11.9,0.5,1,50,0,0,N/A,1,1,100,0,4,4,1,1.5,0,0,3,2
Jarell Eddie,WAS,22,4.5,0.6,2,32.6,0.5,1.5,35.3,0.2,0.2,100,0,0.6,0.6,0.1,0,0.1,0,0.2,2
Coty Clarke,BOS,3,1.9,0.7,1.3,50,0.7,0.7,100,0,0,N/A,0,0.3,0.3,0,0.3,0,0,0,2
Cameron Bairstow,CHI,18,5.7,0.7,2.2,32.5,0.1,0.3,20,0.4,0.4,87.5,0.2,1.3,1.6,0.3,0.2,0.1,0.2,1.1,1.9
Louis Amundson,NY,26,7.3,0.7,1.9,38.8,0,0,N/A,0.5,1,48,0.8,1,1.8,0.5,0.4,0.2,0.3,1.6,1.9
Luis Montero,POR,8,3.5,0.6,1.9,33.3,0.1,0.8,16.7,0.4,0.5,75,0,0.4,0.4,0.1,0.3,0,0,0.1,1.8
Elijah Millsap,UTA,20,8.6,0.6,2,28.2,0.1,0.6,8.3,0.7,0.9,72.2,0.3,1.5,1.8,1,0.5,0.4,0.2,1.7,1.8
Kevon Looney,GS,5,4.1,0.8,1.4,57.1,0.2,0.4,50,0,0,N/A,0.8,1.2,2,0,0.2,0,0,0.4,1.8
Terry Rozier,BOS,33,7.3,0.7,2.6,26.7,0.2,0.7,27.3,0.2,0.2,83.3,0.6,0.8,1.4,1,0.5,0.1,0,0.6,1.7
Cristiano Felicio,CHI,22,7.4,0.7,1.4,48.4,0,0.1,0,0.3,0.5,58.3,0.5,1.8,2.4,0.7,0.2,0.2,0.2,0.6,1.7
Jorge Gutierrez,CHA,7,3.9,0.4,0.6,75,0,0,N/A,0.9,1,85.7,0,0.3,0.3,1.1,0.4,0.4,0,0.3,1.7
C.J. Wilcox,LAC,15,4.4,0.6,1.9,31,0.2,0.7,30,0.2,0.3,60,0,0.2,0.2,0.4,0.1,0.3,0.1,0.4,1.6
Elliot Williams,MEM,5,9.1,0.4,2,20,0.2,0.8,25,0.6,0.8,75,0.2,0.6,0.8,0.8,0.2,0,0,0.4,1.6
Damien Inglis,MIL,16,6.6,0.6,1.6,34.6,0.1,0.6,10,0.4,0.5,87.5,0.1,1.4,1.6,0.4,0.4,0.2,0.2,0.4,1.6
Devyn Marble,ORL,22,7.7,0.6,2.1,27.7,0.3,1,28.6,0.2,0.4,50,0.2,1,1.2,0.3,0.2,0.4,0,0.8,1.6
Anthony Bennett,TOR,19,4.4,0.4,1.4,29.6,0.2,0.7,21.4,0.5,0.5,90,0.3,0.9,1.2,0,0.2,0.3,0,0.4,1.5
Nazr Mohammed,OKC,4,3.5,0.5,0.8,66.7,0,0,N/A,0.5,0.5,100,0,0.5,0.5,0,0.5,0,0,0.8,1.5
Jimmer Fredette,NY,6,2.9,0.3,0.8,40,0.2,0.3,50,0.7,0.8,80,0,0,0,0.2,0.3,0.2,0,0.3,1.5
Udonis Haslem,MIA,31,7.3,0.6,1.6,36.7,0,0.3,12.5,0.3,0.4,90.9,0.3,1.7,2,0.5,0.2,0.2,0.1,0.6,1.5
Russ Smith,MEM,15,4.4,0.5,1.5,31.8,0.1,0.3,20,0.5,0.9,61.5,0.1,0.5,0.6,0.7,0.5,0.3,0.1,0.3,1.5
Erick Green,UTA,9,4.7,0.6,1.4,38.5,0.1,0.6,20,0.2,0.2,100,0.3,0.3,0.7,0.3,0,0.1,0,0.4,1.4
Jordan Mickey,BOS,15,3.6,0.5,1.3,40,0,0,N/A,0.3,0.7,50,0.4,0.5,0.9,0.1,0.1,0,0.7,0.3,1.4
Jeff Ayres,LAC,9,2.8,0.6,0.6,100,0,0,N/A,0.2,0.2,100,0.2,0.4,0.7,0.2,0.2,0,0.3,0.6,1.3
Cliff Alexander,POR,8,4.5,0.6,1.3,50,0,0,N/A,0,0,N/A,0.3,0.5,0.8,0,0.1,0.1,0.3,0.1,1.3
Bryce Cotton,PHO,3,10.9,0.7,2.7,25,0,1,0,0,0,N/A,0,0,0,1,1.7,1,0,0.7,1.3
Mitch McGary,OKC,20,3.6,0.6,1.2,47.8,0,0.2,0,0.2,0.5,40,0.2,0.7,0.9,0.2,0.4,0.1,0.1,0.5,1.3
Mike Miller,DEN,44,7.8,0.4,1.2,35.8,0.4,1,37.8,0,0,N/A,0.1,0.9,1.1,0.8,0.4,0.3,0.1,1.1,1.3
James Ennis,MEM,13,3.6,0.3,1,30.8,0.2,0.6,25,0.5,0.8,60,0.3,0.2,0.5,0.2,0.2,0.3,0.2,0.2,1.2
Keith Appling,ORL,5,5.4,0.4,1.6,25,0,0.6,0,0.4,0.4,100,0,0.2,0.2,0.2,0.6,0.2,0,1,1.2
James Young,BOS,27,7.3,0.4,1.3,30.6,0.2,1,23.1,0,0.1,25,0.1,0.8,1,0.3,0.2,0.2,0,0.6,1.1
Pat Connaughton,POR,30,3.6,0.4,1.4,28.6,0.1,0.6,23.5,0.2,0.2,100,0.3,0.5,0.8,0.3,0.3,0.1,0,0.1,1.1
Jarnell Stokes,MIA,7,2.7,0.4,0.7,60,0,0,N/A,0.1,0.3,50,0.1,0.4,0.6,0.1,0,0.1,0,0.1,1
Jodie Meeks,DET,2,8.5,0.5,2.5,20,0,0,N/A,0,0,N/A,0.5,0.5,1,0,0.5,0,0,1,1
Sasha Kaun,CLE,22,3,0.3,0.5,70,0,0,N/A,0.2,0.5,45.5,0.5,0.4,0.8,0.1,0.3,0.1,0.1,0.5,0.9
Eric Moreland,SAC,5,4.9,0.4,0.6,66.7,0,0,N/A,0,0.4,0,0.2,1,1.2,0,0,0,0.8,0.4,0.8
Shayne Whittington,IND,5,2.6,0.4,0.8,50,0,0.2,0,0,0,N/A,0.2,0.4,0.6,0.4,0.4,0.2,0.2,0.8,0.8
Aaron Harrison,CHA,18,4.1,0.2,0.8,20,0.1,0.4,25,0.2,0.6,40,0.2,0.3,0.6,0.1,0.2,0.2,0,0.4,0.7
Branden Dawson,LAC,3,4.7,0.3,1,33.3,0,0,N/A,0,0,N/A,0.7,0.3,1,0,0,0,0.3,0.7,0.7
Joe Harris,CLE,5,3,0.2,0.8,25,0.2,0.8,25,0,0,N/A,0,0.6,0.6,0.4,0.2,0,0,0.2,0.6
Joel Anthony,DET,17,3.9,0.2,0.4,42.9,0,0,N/A,0.3,0.4,83.3,0.4,0.5,0.9,0.1,0.1,0.1,0.2,0.8,0.6
Cleanthony Early,NY,11,3.1,0.3,0.5,50,0.1,0.4,25,0,0,N/A,0,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.6
Sam Dekker,HOU,3,2.1,0,0,N/A,0,0,N/A,0,0,N/A,0,0.3,0.3,0,0,0.3,0,0,0
Nate Robinson,NO,2,11.7,0,0.5,0,0,0.5,0,0,0,N/A,0,0,0,2,0,0.5,0,2.5,0
JJ O'Brien,UTA,2,3.1,0,0.5,0,0,0,N/A,0,0,N/A,0,0.5,0.5,0,0,0.5,0,0.5,0
Bruno Caboclo,TOR,5,1.5,0,0.6,0,0,0,N/A,0,0,N/A,0,0.2,0.2,0,0.2,0.2,0,0,0
